"rep","Time","Pop_size","Pop_est"
5,35,0,0
5,36,0,0
5,37,0,0
5,38,0,0
5,39,0,0
5,40,0,0
5,41,0,0
5,42,0,0
5,43,0,0
5,44,0,0
5,45,0,0
5,46,0,0
5,47,0,0
5,48,0,0
6,1,23,23
6,2,13,13
6,3,6,6
6,4,4,4
6,5,2,2
6,6,2,2
6,7,4,4
6,8,7,7
6,9,6,6
6,10,4,4
6,11,4,4
6,12,2,2
6,13,0,0
6,14,0,0
6,15,0,0
6,16,0,0
6,17,0,0
6,18,0,0
6,19,0,0
6,20,0,0
6,21,0,0
6,22,0,0
6,23,0,0
6,24,0,0
6,25,0,0
6,26,0,0
6,27,0,0
6,28,0,0
6,29,0,0
6,30,0,0
6,31,0,0
6,32,0,0
6,33,0,0
6,34,0,0
6,35,0,0
6,36,0,0
6,37,0,0
6,38,0,0
6,39,0,0
6,40,0,0
6,41,0,0
6,42,0,0
6,43,0,0
6,44,0,0
6,45,0,0
6,46,0,0
6,47,0,0
6,48,0,0
7,1,25,25
7,2,15,15
7,3,12,12
7,4,6,6
7,5,0,0
7,6,0,0
7,7,0,0
7,8,0,0
7,9,0,0
7,10,0,0
7,11,0,0
7,12,0,0
7,13,0,0
7,14,0,0
7,15,0,0
7,16,0,0
7,17,0,0
7,18,0,0
7,19,0,0
7,20,0,0
7,21,0,0
7,22,0,0
7,23,0,0
7,24,0,0
7,25,0,0
7,26,0,0
7,27,0,0
7,28,0,0
7,29,0,0
7,30,0,0
7,31,0,0
7,32,0,0
7,33,0,0
7,34,0,0
7,35,0,0
7,36,0,0
7,37,0,0
7,38,0,0
7,39,0,0
7,40,0,0
7,41,0,0
7,42,0,0
7,43,0,0
7,44,0,0
7,45,0,0
7,46,0,0
7,47,0,0
7,48,0,0
8,1,27,27
8,2,10,10
8,3,5,5
8,4,4,4
8,5,3,3
8,6,5,5
8,7,5,5
8,8,4,4
8,9,3,3
8,10,0,0
8,11,0,0
8,12,0,0
8,13,0,0
8,14,0,0
8,15,0,0
8,16,0,0
8,17,0,0
8,18,0,0
8,19,0,0
8,20,0,0
8,21,0,0
8,22,0,0
8,23,0,0
8,24,0,0
8,25,0,0
8,26,0,0
8,27,0,0
8,28,0,0
8,29,0,0
8,30,0,0
8,31,0,0
8,32,0,0
8,33,0,0
8,34,0,0
8,35,0,0
8,36,0,0
8,37,0,0
8,38,0,0
8,39,0,0
8,40,0,0
8,41,0,0
8,42,0,0
8,43,0,0
8,44,0,0
8,45,0,0
8,46,0,0
8,47,0,0
8,48,0,0
9,1,29,29
9,2,15,15
9,3,10,10
9,4,6,6
9,5,0,0
9,6,0,0
9,7,0,0
9,8,0,0
9,9,0,0
9,10,0,0
9,11,0,0
9,12,0,0
9,13,0,0
9,14,0,0
9,15,0,0
9,16,0,0
9,17,0,0
9,18,0,0
9,19,0,0
9,20,0,0
9,21,0,0
9,22,0,0
9,23,0,0
9,24,0,0
9,25,0,0
9,26,0,0
9,27,0,0
9,28,0,0
9,29,0,0
9,30,0,0
9,31,0,0
9,32,0,0
9,33,0,0
9,34,0,0
9,35,0,0
9,36,0,0
9,37,0,0
9,38,0,0
9,39,0,0
9,40,0,0
9,41,0,0
9,42,0,0
9,43,0,0
9,44,0,0
9,45,0,0
9,46,0,0
9,47,0,0
9,48,0,0
10,1,26,26
10,2,12,12
10,3,7,7
10,4,5,5
10,5,3,3
10,6,5,5
10,7,8,8
10,8,4,4
10,9,4,4
10,10,2,2
10,11,0,0
10,12,0,0
10,13,0,0
10,14,0,0
10,15,0,0
10,16,0,0
10,17,0,0
10,18,0,0
10,19,0,0
10,20,0,0
10,21,0,0
10,22,0,0
10,23,0,0
10,24,0,0
10,25,0,0
10,26,0,0
10,27,0,0
10,28,0,0
10,29,0,0
10,30,0,0
10,31,0,0
10,32,0,0
10,33,0,0
10,34,0,0
10,35,0,0
10,36,0,0
10,37,0,0
10,38,0,0
10,39,0,0
10,40,0,0
10,41,0,0
10,42,0,0
10,43,0,0
10,44,0,0
10,45,0,0
10,46,0,0
10,47,0,0
10,48,0,0
